state_component, stat, schedule, label_scheme, N, result
all, avgp, 1, a, 128570, 0.9518512
all, neglogp, 1, a, 128570, 0.2434694
all, mrr, 1, a, 128570, 0.9692278
all, update.acc, 1, a, 128570, 0.9105758
all, update.prec, 1, a, 128570, 0.9175590
all, roc.v1_eer, 1, a, 128570, 0.0461383
all, roc.v1_ca05, 1, a, 128570, 0.9583651
all, roc.v1_ca10, 1, a, 128570, 0.9583651
all, roc.v1_ca20, 1, a, 128570, 0.9583651
all, roc.v2_ca05, 1, a, 128570, 0.0000081
all, roc.v2_ca10, 1, a, 128570, 0.0000081
all, roc.v2_ca20, 1, a, 128570, 0.0000081
goal.food, acc, 1, b, 9890, 0.6862487
goal.food, l2, 1, b, 9890, 0.5416013
goal.food, l2.binary, 1, b, 9890, 0.6354661
goal.food, avgp, 1, b, 9890, 0.6487917
goal.food, neglogp, 1, b, 9890, 2.2759448
goal.food, mrr, 1, b, 9890, 0.7221872
goal.food, update.acc, 1, b, 9890, 0.3282098
goal.food, update.prec, 1, b, 9890, 0.6531714
goal.food, roc.v1_eer, 1, b, 9890, 0.3328615
goal.food, roc.v1_ca05, 1, b, 9890, 0.0000000
goal.food, roc.v1_ca10, 1, b, 9890, 0.0000000
goal.food, roc.v1_ca20, 1, b, 9890, 0.6136502
goal.food, roc.v2_ca05, 1, b, 9890, 0.0000000
goal.food, roc.v2_ca10, 1, b, 9890, 0.0000000
goal.food, roc.v2_ca20, 1, b, 9890, 0.0000000
goal.pricerange, acc, 1, b, 9890, 0.6892821
goal.pricerange, l2, 1, b, 9890, 0.5960181
goal.pricerange, l2.binary, 1, b, 9890, 0.6096455
goal.pricerange, avgp, 1, b, 9890, 0.6757741
goal.pricerange, neglogp, 1, b, 9890, 2.4932225
goal.pricerange, mrr, 1, b, 9890, 0.7269633
goal.pricerange, update.acc, 1, b, 9890, 0.2380952
goal.pricerange, update.prec, 1, b, 9890, 0.7407407
goal.pricerange, roc.v1_eer, 1, b, 9890, 0.4701719
goal.pricerange, roc.v1_ca05, 1, b, 9890, 0.0000000
goal.pricerange, roc.v1_ca10, 1, b, 9890, 0.0000000
goal.pricerange, roc.v1_ca20, 1, b, 9890, 0.0000000
goal.pricerange, roc.v2_ca05, 1, b, 9890, 0.0000000
goal.pricerange, roc.v2_ca10, 1, b, 9890, 0.0000000
goal.pricerange, roc.v2_ca20, 1, b, 9890, 0.0000000
goal.name, acc, 1, b, 9890, 0.9892821
goal.name, l2, 1, b, 9890, 0.0213096
goal.name, l2.binary, 1, b, 9890, 0.0213189
goal.name, avgp, 1, b, 9890, 0.9893175
goal.name, neglogp, 1, b, 9890, 0.0978902
goal.name, mrr, 1, b, 9890, 0.9893327
